,A,C,CS,M,Y,P,JD,CF,SR,RM,L,PP,V,TA,MA,BU,RU,RB,I,HC,J,JM,ZC,FG,CU,NI,AL,ZN,AU,AG
2018-02-06,7.79879884,16.152691254,5.3788504,51.09190681,42.27996612,23.730513212,10.314422336,16.6585353,19.87233502,14.135100624,17.12247054,18.782594957,6.76642624,26.290218108,14.536448794,12.147296224,97.38166308,110.940532542,104.4184952,23.528704096,81.4962078,28.406560752,18.427225824,10.15864682,143.79722098,63.15268424,58.41463535,53.79918616,46.7817596,44.44729842
2018-02-07,7.598975244,16.3508849,5.723942014,52.178616504,43.004525004,23.525454428,10.219836496,16.9239149,19.67902174,14.786123664,17.557965845,19.832061291,6.87507352,25.786818432,14.299419652,11.97066832,95.982633,109.516342248,100.2320345,22.574948928,84.83179044,27.20012364,17.253273696,10.263793792,144.92423967,63.20908396,58.43478795,52.76733344,46.2030357,46.05626457
2018-02-08,7.12283684,15.985114726,5.70426661,52.31606387,42.129064432,24.201020228,10.15739544,16.778010825,19.18870632,14.986001952,17.08988183,19.64979534,6.4683409,24.842289828,14.028434616,11.369645152,94.56082416,109.716184476,98.2157037,23.106694688,83.02626072,28.364598504,16.366037232,12.0341851,143.81348163,59.69970156,58.63931475,50.95929912,46.80266435,46.11235035
2018-02-09,6.579284894,16.345912408,5.615860852,51.34410414,41.893874316,23.325134336,9.778954736,16.601423325,18.91822271,14.548069512,16.61636564,19.131800583,6.69308108,24.269255292,12.885890724,10.803451072,91.12325184,105.90349743,101.4346908,21.685648576,75.58810788,26.949066048,15.524416704,11.279952768,144.0376735,58.53115788,58.3363883,48.94848092,47.24483025,45.41746062
2018-02-12,6.335139062,16.096828118,5.62068591,53.52351795,41.739952996,22.954984332,9.876326864,16.244576225,18.41401249,15.384120156,17.02442161,19.26992277,6.91646417,24.366821496,13.615000966,10.626560416,90.46552428,101.709259992,91.7046786,20.914729456,67.51550544,25.77156876,14.87744004,10.592981392,144.13399966,60.53698752,56.70414655,45.3898616,47.9751423,45.57124821
2018-02-13,6.096201916,15.181157208,4.99820678,52.720288082,41.357274224,21.438485684,9.44057016,16.218464775,17.46069106,14.200920888,16.166356675,18.201930943,6.323136575,23.355930684,12.793019624,10.332803904,88.89529068,96.75871038,91.2992289,20.022240864,62.13893412,24.330855024,14.486558784,9.7413022,148.66622127,59.680154,55.3302761,45.2943726,47.56088985,44.27288376
2018-02-14,5.756100168,15.32872663,4.862157314,52.453140754,39.615027648,21.214045888,8.90982752,15.9468928,17.09373167,13.422148068,16.097991035,17.682704487,7.043634815,23.000847888,11.973630788,9.889364064,86.66332956,93.634817814,89.4732471,19.355097664,60.71459292,22.885219872,13.926619464,8.953325472,147.00730359,59.43527424,53.95824665,45.90403,46.79581035,43.83294819
2018-02-22,6.048222586,15.900211922,4.999752828,54.794038306,39.351947964,20.961528,9.114214368,16.077014375,17.383071,14.556726876,16.284127055,17.664932432,6.98827465,23.976696408,12.172392512,10.244878624,88.60005996,100.424071242,91.3215457,19.695698208,69.7552788,24.174830232,15.31180764,9.344530272,144.80608443,58.96670884,56.18210585,44.49635072,47.3979705,43.4833386
2018-02-23,6.309977744,16.542666574,5.21791837,57.705859204,41.7665647,22.526344344,10.023772608,16.597224925,17.85243556,15.518929644,16.980002795,18.373489435,7.59739995,24.659486772,12.687479084,10.818410048,90.07187412,106.022729286,103.7299557,20.806520512,82.35151464,28.86395796,16.353913728,10.678862096,152.2607597,68.7000545,56.8006975,45.4349482,48.6373132,45.50923179
2018-02-26,6.503988736,18.82543138,7.022355536,60.434817338,41.374521832,22.670199216,9.866228064,16.362847575,18.51975822,15.909766776,17.70911387,19.888696996,7.464059295,26.931774228,14.86981769,10.667631456,90.01062456,110.883919248,101.8746973,21.981871392,92.16632364,33.157093896,16.36578012,10.013124464,155.45891977,71.07215184,55.76549595,45.60887076,49.85502795,47.39023746
2018-02-27,6.592052264,18.740505938,6.803526268,60.890743256,41.582574516,22.00464,9.969522528,16.0200468,18.9033614,15.733796448,18.371722215,19.566808086,7.752198895,28.36543362,15.586674726,10.64193008,88.75085892,109.06199865,103.8099766,22.932579344,90.10081812,34.503614712,16.220309232,10.16438626,156.16528592,74.39739598,57.02013595,46.34706908,49.01502575,49.06377768
2018-02-28,6.582112124,19.407208702,6.96450895,65.49191621,41.770298836,22.214858232,9.814776704,16.16439645,18.76359038,16.430443524,18.29349704,19.229119364,7.483103425,28.241343372,15.05550809,10.94151936,89.56530396,109.26579636,100.7164163,23.016094336,85.22475756,35.536160304,16.536653616,10.945332272,156.8918239,71.33016794,57.1663322,45.51239772,49.1791842,49.51164249
2018-03-01,6.610012962,19.49810751,6.67588103,71.244052404,41.950573196,22.005709488,9.8656932,16.3488643,18.91964664,16.914755832,20.0058873,19.712128268,7.809858175,28.450304136,16.915061212,10.909075168,89.62549764,111.991867632,106.6407848,23.464736608,88.88651268,34.912502568,17.025997488,11.243707608,157.60598742,71.06405284,57.31182555,44.38402388,49.48443465,50.47359858
2018-03-02,6.725573484,21.069922286,6.848645594,75.565819504,41.873616876,22.370323192,9.935874272,16.394744825,18.70922177,18.244506876,18.94416699,18.328603832,7.573168295,28.744876356,15.712738552,10.923723904,89.28322908,108.419644062,103.0599078,24.56194912,87.48909432,31.847635656,16.825613424,11.254212172,158.52768218,71.6505075,56.77281065,44.66234452,50.5823277,48.88962135
2018-03-05,6.48304321,22.104373788,7.539586586,75.192833464,41.184377192,22.269604588,9.356798384,16.76985425,18.90205857,17.41281474,18.55099435,18.841924885,7.61424412,28.945023924,15.852378206,11.336478368,91.07269092,110.32969617,106.334803,21.57014704,83.87578092,31.872647448,17.706203208,11.0556782,158.63263829,70.3800616,56.8252399,43.79128336,50.51501605,48.83586369
2018-03-06,6.14101376,23.690344146,7.517890408,78.524276264,40.489750448,22.725908716,9.08053112,17.720313075,19.45606462,17.221398612,18.988471075,18.159151164,7.637237475,28.668716448,15.79043865,10.991486208,90.47745096,115.595817012,101.956034,20.664619792,79.28602692,31.048284312,17.253100032,10.660554576,162.58748695,74.32440758,56.8206422,43.08385216,50.52924755,50.09332353
2018-03-07,5.985818734,23.163773836,7.524074432,83.312973142,41.209053844,22.690674076,9.03193496,17.12801815,19.90499726,17.256240588,18.362895355,18.784739841,7.76543509,29.085846948,15.800910524,11.239052896,91.7489838,118.172101536,106.5586392,20.471176944,77.18954628,30.180652344,17.715309816,11.579479996,161.44838759,72.11390098,57.18192975,45.00154324,50.2818553,47.5946376
2018-03-08,6.051987802,23.201404576,7.559608028,83.506437854,39.937417156,22.114448412,8.910911632,16.789637575,19.76423807,17.07021828,19.174613185,18.696273995,8.376057795,28.467265404,16.342897914,11.084813408,91.29233868,121.989402018,105.9727933,19.89137496,74.01914484,28.9550322,18.341121408,11.60397266,159.50127452,73.91094262,57.6459601,45.05739788,51.0518382,48.92984163
2018-03-09,5.656869834,23.199083712,7.48481629,83.767641272,39.238315956,22.74035092,8.925150768,16.887736725,19.7366778,16.635598692,17.9480749,18.134176375,7.84152544,28.3524825,16.118657002,10.709500672,91.18291416,117.896353326,107.0793927,18.924059392,72.13573992,28.348616592,18.195126696,11.332595736,157.06594057,71.82443454,57.1118048,45.55655268,50.92561895,48.06446742
2018-03-12,5.40281777,22.736892836,6.859551384,79.154339614,38.750322772,23.367629096,9.098384928,16.53609005,19.22227074,16.128773628,18.29110689,18.842867414,8.869421015,28.784306856,15.199591064,10.394479104,91.58784072,119.516875722,107.4426069,17.967935792,69.66048084,28.011319416,18.399937416,10.894765084,160.14684616,77.0693167,58.31989275,45.4088168,50.71413295,47.49228765
2018-03-13,5.294902438,22.814787156,6.663283466,79.025431324,39.622143372,23.818431028,9.090140304,16.110955225,19.19362217,16.034128236,17.762371305,17.861850293,9.09979336,29.93974182,14.78303351,10.914103872,92.85156972,123.24075426,106.6732028,18.223742704,68.51403444,29.641936896,18.528559176,10.491695592,160.77592727,75.28197322,61.1160155,45.96766888,51.46261985,47.62300515
2018-03-14,5.222667324,22.801326562,6.652035796,79.577530074,39.19834128,23.18384824,9.114814464,16.1341131,19.23925476,16.309229604,17.595584895,17.475444609,8.930194665,29.241754752,15.066004282,10.693246816,92.48926056,124.188405858,110.0640431,18.067419232,77.984094,32.859604224,18.41964876,10.598962696,160.9704285,79.21843572,58.68822705,46.16724884,51.4728877,47.34705264
2018-03-15,5.303509582,23.121986804,6.442534616,79.957025344,40.321008364,23.603683684,9.126508752,16.288413675,18.9619563,15.508418844,17.84464934,17.67199161,9.293052685,29.12792952,14.564581514,10.526527648,93.93789324,122.360223042,103.8018492,17.748552928,69.73295592,29.820824136,18.291977808,10.673424776,159.78343745,77.77275938,57.45772675,46.26434076,51.5606192,47.80474827
2018-03-16,6.152139238,23.519580392,6.251292278,85.675029776,40.467524664,22.760954468,9.060902144,16.31361035,18.86766755,15.574302816,17.89979555,19.219746427,9.13441669,29.564899236,14.18602297,10.273399264,98.51547012,124.737665274,105.5264832,18.728132816,71.15263416,29.476322496,18.265462392,10.256975568,156.2883987,77.40834944,53.95941645,44.47850332,51.60548565,50.14815051
2018-03-19,6.166448134,22.961846516,6.256255208,82.118805594,41.535060364,22.7317384,9.324678944,16.88813925,18.39371555,15.004574136,18.87522728,19.082879466,9.17551166,28.842737508,15.04604787,10.443873024,98.14873104,127.164044682,110.2930055,18.213869152,78.97480344,33.694337592,18.1949952,10.560400424,157.6351084,77.12716896,54.2820126,44.690785,51.92365585,51.77746785
2018-03-20,6.09395878,22.908220244,6.222835696,80.960907454,40.982970504,23.762240348,8.665947312,17.2084317,18.47245168,14.615196324,19.485143475,19.621878171,9.936020745,27.577705812,14.181522614,10.691260384,99.12641472,126.740002518,108.2204034,18.56880072,74.35491384,31.706484912,17.799903216,9.564674252,157.58070783,77.62303788,54.6849728,45.21993528,52.20606845,50.92891305
2018-03-21,5.940167002,23.522092566,6.113624412,81.798370248,41.51070168,23.946762112,8.689894208,17.3741344,18.51239144,14.691709908,18.726957865,18.975213355,9.458791195,27.251376132,14.039374734,10.495217792,99.61218324,128.687083758,112.1164678,20.133296944,76.23172188,33.161364504,17.86230924,10.441743228,158.72116456,77.38407596,55.52097755,46.86221904,52.1145839,51.86244357
2018-03-22,5.88986748,23.297100582,6.279794276,82.806356906,41.993509852,24.046027124,8.675617232,17.9363938,18.47373334,14.69688096,19.166974505,18.944800504,8.97959314,25.691193228,15.183109032,10.92473024,101.051862,130.494478986,111.4602182,19.689986432,74.16399348,32.3435628,17.871826776,11.481809052,161.0222929,78.61970246,54.98858645,48.2621808,52.89685555,50.20266291
2018-03-23,6.356648648,22.809970778,6.043836246,82.64941097,39.9278341,22.563767996,7.87962776,17.64206495,17.70324736,14.643676308,18.002077205,18.159567664,8.44422166,25.482528492,13.062816536,10.234085248,91.95092232,115.921833012,96.9590624,18.180139568,79.02358596,36.11919708,17.105660088,9.709376712,155.55006495,78.30979768,54.44116435,48.60851224,54.23407505,50.25159285
2018-03-26,6.380973578,22.985933376,5.996788434,82.844613306,39.301088904,22.602312684,8.264521584,17.942828,18.37289177,15.133348608,18.50347695,18.09633098,8.526608895,25.498885944,13.27720583,10.637734528,86.38551348,119.12186871,98.2055011,17.337542352,70.20696132,35.017021224,16.412446248,9.37479144,150.95541692,73.44315774,53.48567435,47.22217292,53.41106365,49.95881469
2018-03-27,6.111074438,22.64957457,6.290071872,82.792836266,40.724472404,22.66756086,8.215493008,17.82494655,18.17324635,15.303626676,18.168662925,17.749597607,8.40217637,26.159046744,13.44924672,10.784519776,86.8980024,117.700371666,98.3253004,17.797565776,73.73605452,33.98411124,16.64745444,8.935156888,153.59684116,72.24931396,52.6802281,46.66943216,52.98640155,49.9224453
2018-03-28,5.924752274,22.210476358,6.38651629,80.991726242,39.71705808,22.56456146,7.893545264,18.768170925,18.52152222,15.381094608,18.08442433,17.825311868,9.030809165,27.087093504,13.321247296,10.856163936,84.87825996,111.990796866,106.3396141,17.45737448,80.00406456,34.213544784,16.385233872,8.80777072,152.40608523,71.97035006,52.5904606,48.01409688,51.8253329,50.97558729
2018-03-29,6.090770084,22.189099898,5.878862206,80.161708032,39.997395592,24.28372184,8.598860384,18.8935297,18.83025429,14.83663266,18.15182194,17.879931622,8.90338687,27.437872464,13.851107956,11.231626688,85.0422522,114.035388372,103.9988889,17.715513872,78.75448212,40.379133024,16.202741832,8.454672016,154.65972298,72.72964968,54.9600207,46.99202392,49.1196761,52.44551097
2018-03-30,5.919233054,22.360917866,5.788921614,89.325455702,39.867341164,22.309817208,7.223825472,18.755284525,19.0575315,15.84063726,18.00393021,17.907275834,8.318503025,27.481861356,12.857175114,12.05241344,86.2346022,116.354076354,102.4663414,17.472605296,79.67717388,35.747674632,16.035881736,8.49527308,154.34611262,70.30022134,54.74588625,45.85752992,49.2442502,51.98452278
2018-04-02,6.432549522,22.231682158,5.64583474,89.592722296,42.04755002,21.209606936,7.150499616,18.9916158,18.50652728,15.862277508,16.89214926,16.637345417,8.124338145,27.485056248,13.621129886,11.288769792,85.69677144,111.510310446,104.4144065,16.467065376,78.67334892,32.358603816,16.544028408,7.504778652,153.73624679,68.26946798,55.50152005,45.01311012,49.14883425,51.43999443
2018-04-03,6.668409916,21.80784011,5.54060129,88.790191196,41.799575972,21.511609168,7.088148208,19.385588075,18.60351139,15.485922048,16.471231385,16.735984979,7.759747205,27.893677884,13.448374604,10.782562176,85.744782,110.232539388,104.069396,16.108557408,71.40757284,29.697557616,16.795146072,7.042827904,151.79667944,67.75404528,55.10909105,45.03206324,49.05228605,49.91141265
2018-04-04,7.449074038,22.589852404,5.717118218,89.270826792,42.529489156,20.027415884,6.967826304,19.837337775,18.21994349,15.236511924,16.293616535,16.179983365,7.60844084,27.699414348,12.792388952,10.340921088,85.6426512,108.374439546,110.0560468,15.63142264,73.13392176,28.785727728,16.618735608,6.319898284,148.97686202,65.30317972,54.2822332,45.37423808,49.00063575,50.34385527
2018-04-09,8.17342316,21.988206324,5.292297248,94.006399214,43.252572272,20.47453072,7.0777492,19.591285325,18.18102802,15.460106328,15.930769575,16.522684143,7.889880075,28.17596694,13.600532834,9.980474368,87.22012608,114.009028668,113.391213,16.413659392,68.10517044,26.770104936,16.83940488,6.253545508,153.93252651,63.99847428,54.88768115,47.26347688,49.06861325,50.76266487
2018-04-10,7.981986292,21.057959818,5.666907442,91.527339218,44.258671184,20.305250308,6.883270976,19.75932485,18.66686012,15.140141616,15.95643812,16.172044581,7.74077542,28.159798032,14.173150334,10.128260288,87.87188472,114.736771836,115.7366041,16.454351168,69.21256428,26.47546164,17.69538708,6.325557616,155.16581073,64.5789762,56.24304625,46.799643,49.4398856,50.75725047
2018-04-11,7.954618714,20.980286712,5.502446362,94.538596782,44.28479202,21.534827888,6.986544208,19.662678325,18.62842096,15.132131916,15.913556855,15.800051148,7.752924935,28.758043368,13.358049362,10.677034656,88.13292,111.463983342,109.2781884,16.52500032,75.69773076,27.327533832,17.587100112,6.50900656,151.55867419,64.5906152,58.1517334,46.54313524,51.2214559,50.8270656
2018-04-12,7.89190724,20.270067006,5.49420382,94.193211266,43.706857852,21.076136144,7.049107344,19.71524485,18.52290081,14.07507258,15.331281315,15.448849241,7.740670805,28.8938349,13.352249568,11.03475328,88.36559556,110.315786598,113.7953556,16.394749648,73.7864256,27.75305484,17.750001096,6.2280239,150.29657566,66.8124413,58.4614322,54.091809,52.0177037,49.37772429
2018-04-13,7.775582752,20.156970862,5.370763076,97.20738979,43.32955494,20.426770924,6.986305872,19.7802778,18.23901445,14.539616652,16.105032545,14.806165171,8.139338795,28.494671616,13.34030243,11.130284224,89.91640092,115.221980502,111.6303167,16.288277456,71.40283512,27.666351,16.532232144,5.869139808,148.86877726,69.54886212,58.52475445,54.74329064,51.71317095,47.61020721
2018-04-16,6.99646703,19.989198278,4.903613106,96.7357517,43.495237184,21.022913828,6.947944944,19.37074655,18.51866795,14.533016664,15.891716295,14.808285926,7.881524805,27.700086048,14.05402824,10.886304576,92.9069796,108.651627648,116.7713155,16.058817024,69.70786656,28.766572272,17.0038338,6.098347808,148.7364207,71.68461742,60.1626851,52.52763828,50.95436495,48.13407294
