,A.DCE,C.DCE,CS.DCE,M.DCE,Y.DCE,P.DCE,JD.DCE,L.DCE,PP.DCE,V.DCE,J.DCE,JM.DCE,I.DCE
2012/5/25,A1301.DCE,C1209.DCE,,M1301.DCE,Y1209.DCE,P1209.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/5/28,A1301.DCE,C1209.DCE,,M1301.DCE,Y1209.DCE,P1209.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/5/29,A1301.DCE,C1209.DCE,,M1301.DCE,Y1209.DCE,P1209.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/5/30,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1209.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/5/31,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1209.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/1,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1209.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/4,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1209.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/5,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1209.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/6,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1209.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/7,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/8,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/11,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/12,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/13,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/14,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/15,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/18,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/19,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/20,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/21,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/25,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/26,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/27,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/28,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/6/29,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/7/2,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/7/3,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/7/4,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/7/5,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/7/6,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/7/9,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/7/10,A1301.DCE,C1209.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/7/11,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/7/12,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/7/13,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1209.DCE,J1209.DCE,,
2012/7/16,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1301.DCE,J1209.DCE,,
2012/7/17,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1209.DCE,,V1301.DCE,J1209.DCE,,
2012/7/18,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1209.DCE,,
2012/7/19,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/7/20,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/7/23,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/7/24,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/7/25,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/7/26,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/7/27,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/7/30,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/7/31,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/1,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/2,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/3,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/6,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/7,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/8,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/9,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/10,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/13,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/14,A1301.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/15,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/16,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/17,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/20,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/21,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/22,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/23,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/24,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/27,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/28,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/29,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/30,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/8/31,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/3,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/4,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/5,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/6,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/7,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/10,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/11,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/12,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/13,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/14,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/17,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/18,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/19,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/20,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/21,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/24,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/25,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/26,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/27,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/9/28,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/8,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/9,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/10,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/11,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/12,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/15,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/16,A1305.DCE,C1301.DCE,,M1301.DCE,Y1301.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/17,A1305.DCE,C1301.DCE,,M1301.DCE,Y1305.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/18,A1305.DCE,C1301.DCE,,M1301.DCE,Y1305.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/19,A1305.DCE,C1301.DCE,,M1301.DCE,Y1305.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/22,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1301.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/23,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/24,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/25,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1301.DCE,,V1301.DCE,J1301.DCE,,
2012/10/26,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1301.DCE,,V1301.DCE,J1305.DCE,,
2012/10/29,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1301.DCE,,V1301.DCE,J1305.DCE,,
2012/10/30,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1301.DCE,,V1301.DCE,J1305.DCE,,
2012/10/31,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1301.DCE,,V1301.DCE,J1305.DCE,,
2012/11/1,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1301.DCE,,V1301.DCE,J1305.DCE,,
2012/11/2,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1301.DCE,J1305.DCE,,
2012/11/5,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1301.DCE,J1305.DCE,,
2012/11/6,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1301.DCE,J1305.DCE,,
2012/11/7,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1301.DCE,J1305.DCE,,
2012/11/8,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1301.DCE,J1305.DCE,,
2012/11/9,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1301.DCE,J1305.DCE,,
2012/11/12,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1301.DCE,J1305.DCE,,
2012/11/13,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/14,A1305.DCE,C1305.DCE,,M1301.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/15,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/16,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/19,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/20,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/21,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/22,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/23,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/26,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/27,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/28,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/29,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/11/30,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/3,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/4,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/5,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/6,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/7,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/10,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/11,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/12,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/13,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/14,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/17,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/18,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/19,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/20,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/21,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/24,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/25,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/26,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/27,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/28,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2012/12/31,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/4,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/7,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/8,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/9,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/10,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/11,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/14,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/15,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/16,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/17,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/18,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/21,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/22,A1305.DCE,C1305.DCE,,M1305.DCE,Y1305.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/23,A1305.DCE,C1305.DCE,,M1305.DCE,Y1309.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/24,A1305.DCE,C1305.DCE,,M1305.DCE,Y1309.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/25,A1305.DCE,C1305.DCE,,M1305.DCE,Y1309.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/28,A1305.DCE,C1305.DCE,,M1305.DCE,Y1309.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/29,A1305.DCE,C1305.DCE,,M1305.DCE,Y1309.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/30,A1305.DCE,C1305.DCE,,M1305.DCE,Y1309.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/1/31,A1305.DCE,C1305.DCE,,M1305.DCE,Y1309.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/2/1,A1305.DCE,C1305.DCE,,M1305.DCE,Y1309.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/2/4,A1309.DCE,C1305.DCE,,M1305.DCE,Y1309.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/2/5,A1309.DCE,C1305.DCE,,M1305.DCE,Y1309.DCE,P1305.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/2/6,A1309.DCE,C1309.DCE,,M1305.DCE,Y1309.DCE,P1309.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/2/7,A1309.DCE,C1309.DCE,,M1305.DCE,Y1309.DCE,P1309.DCE,,L1305.DCE,,V1305.DCE,J1305.DCE,,
2013/2/8,A1309.DCE,C1309.DCE,,M1305.DCE,Y1309.DCE,P1309.DCE,,L1309.DCE,,V1305.DCE,J1309.DCE,,
2013/2/18,A1309.DCE,C1309.DCE,,M1305.DCE,Y1309.DCE,P1309.DCE,,L1309.DCE,,V1305.DCE,J1309.DCE,,
2013/2/19,A1309.DCE,C1309.DCE,,M1309.DCE,Y1309.DCE,P1309.DCE,,L1309.DCE,,V1305.DCE,J1309.DCE,,
2013/2/20,A1309.DCE,C1309.DCE,,M1309.DCE,Y1309.DCE,P1309.DCE,,L1309.DCE,,V1305.DCE,J1309.DCE,,
