,IF.CFE
2012-03-02,IF1203.CFE
2012-03-05,IF1203.CFE
2012-03-06,IF1203.CFE
2012-03-07,IF1203.CFE
2012-03-08,IF1203.CFE
2012-03-09,IF1203.CFE
2012-03-12,IF1203.CFE
2012-03-13,IF1203.CFE
2012-03-14,IF1203.CFE
2012-03-15,IF1203.CFE
2012-03-16,IF1204.CFE
2012-03-19,IF1204.CFE
2012-03-20,IF1204.CFE
2012-03-21,IF1204.CFE
2012-03-22,IF1204.CFE
2012-03-23,IF1204.CFE
2012-03-26,IF1204.CFE
2012-03-27,IF1204.CFE
2012-03-28,IF1204.CFE
2012-03-29,IF1204.CFE
2012-03-30,IF1204.CFE
2012-04-05,IF1204.CFE
2012-04-06,IF1204.CFE
2012-04-09,IF1204.CFE
2012-04-10,IF1204.CFE
2012-04-11,IF1204.CFE
2012-04-12,IF1204.CFE
2012-04-13,IF1204.CFE
2012-04-16,IF1204.CFE
2012-04-17,IF1204.CFE
2012-04-18,IF1204.CFE
2012-04-19,IF1205.CFE
2012-04-20,IF1205.CFE
2012-04-23,IF1205.CFE
2012-04-24,IF1205.CFE
2012-04-25,IF1205.CFE
2012-04-26,IF1205.CFE
2012-04-27,IF1205.CFE
2012-05-02,IF1205.CFE
2012-05-03,IF1205.CFE
2012-05-04,IF1205.CFE
2012-05-07,IF1205.CFE
2012-05-08,IF1205.CFE
2012-05-09,IF1205.CFE
2012-05-10,IF1205.CFE
2012-05-11,IF1205.CFE
2012-05-14,IF1205.CFE
2012-05-15,IF1205.CFE
2012-05-16,IF1205.CFE
2012-05-17,IF1206.CFE
2012-05-18,IF1206.CFE
2012-05-21,IF1206.CFE
2012-05-22,IF1206.CFE
2012-05-23,IF1206.CFE
2012-05-24,IF1206.CFE
2012-05-25,IF1206.CFE
2012-05-28,IF1206.CFE
2012-05-29,IF1206.CFE
2012-05-30,IF1206.CFE
2012-05-31,IF1206.CFE
2012-06-01,IF1206.CFE
2012-06-04,IF1206.CFE
2012-06-05,IF1206.CFE
2012-06-06,IF1206.CFE
2012-06-07,IF1206.CFE
2012-06-08,IF1206.CFE
2012-06-11,IF1206.CFE
2012-06-12,IF1206.CFE
2012-06-13,IF1206.CFE
2012-06-14,IF1207.CFE
2012-06-15,IF1207.CFE
2012-06-18,IF1207.CFE
2012-06-19,IF1207.CFE
2012-06-20,IF1207.CFE
2012-06-21,IF1207.CFE
2012-06-25,IF1207.CFE
2012-06-26,IF1207.CFE
2012-06-27,IF1207.CFE
2012-06-28,IF1207.CFE
2012-06-29,IF1207.CFE
2012-07-02,IF1207.CFE
2012-07-03,IF1207.CFE
2012-07-04,IF1207.CFE
2012-07-05,IF1207.CFE
2012-07-06,IF1207.CFE
2012-07-09,IF1207.CFE
2012-07-10,IF1207.CFE
2012-07-11,IF1207.CFE
2012-07-12,IF1207.CFE
2012-07-13,IF1207.CFE
2012-07-16,IF1207.CFE
2012-07-17,IF1207.CFE
2012-07-18,IF1207.CFE
2012-07-19,IF1207.CFE
2012-07-20,IF1208.CFE
2012-07-23,IF1208.CFE
2012-07-24,IF1208.CFE
2012-07-25,IF1208.CFE
2012-07-26,IF1208.CFE
2012-07-27,IF1208.CFE
2012-07-30,IF1208.CFE
2012-07-31,IF1208.CFE
2012-08-01,IF1208.CFE
2012-08-02,IF1208.CFE
2012-08-03,IF1208.CFE
2012-08-06,IF1208.CFE
2012-08-07,IF1208.CFE
2012-08-08,IF1208.CFE
2012-08-09,IF1208.CFE
2012-08-10,IF1208.CFE
2012-08-13,IF1208.CFE
2012-08-14,IF1208.CFE
2012-08-15,IF1208.CFE
2012-08-16,IF1208.CFE
2012-08-17,IF1209.CFE
2012-08-20,IF1209.CFE
2012-08-21,IF1209.CFE
2012-08-22,IF1209.CFE
2012-08-23,IF1209.CFE
2012-08-24,IF1209.CFE
2012-08-27,IF1209.CFE
2012-08-28,IF1209.CFE
2012-08-29,IF1209.CFE
2012-08-30,IF1209.CFE
2012-08-31,IF1209.CFE
2012-09-03,IF1209.CFE
2012-09-04,IF1209.CFE
2012-09-05,IF1209.CFE
2012-09-06,IF1209.CFE
2012-09-07,IF1209.CFE
2012-09-10,IF1209.CFE
2012-09-11,IF1209.CFE
2012-09-12,IF1209.CFE
2012-09-13,IF1209.CFE
2012-09-14,IF1209.CFE
2012-09-17,IF1209.CFE
2012-09-18,IF1209.CFE
2012-09-19,IF1210.CFE
2012-09-20,IF1210.CFE
2012-09-21,IF1210.CFE
2012-09-24,IF1210.CFE
2012-09-25,IF1210.CFE
2012-09-26,IF1210.CFE
2012-09-27,IF1210.CFE
2012-09-28,IF1210.CFE
2012-10-08,IF1210.CFE
2012-10-09,IF1210.CFE
2012-10-10,IF1210.CFE
2012-10-11,IF1210.CFE
2012-10-12,IF1210.CFE
2012-10-15,IF1210.CFE
2012-10-16,IF1210.CFE
2012-10-17,IF1210.CFE
2012-10-18,IF1210.CFE
2012-10-19,IF1211.CFE
2012-10-22,IF1211.CFE
2012-10-23,IF1211.CFE
2012-10-24,IF1211.CFE
2012-10-25,IF1211.CFE
2012-10-26,IF1211.CFE
2012-10-29,IF1211.CFE
2012-10-30,IF1211.CFE
2012-10-31,IF1211.CFE
2012-11-01,IF1211.CFE
2012-11-02,IF1211.CFE
2012-11-05,IF1211.CFE
2012-11-06,IF1211.CFE
2012-11-07,IF1211.CFE
2012-11-08,IF1211.CFE
2012-11-09,IF1211.CFE
2012-11-12,IF1211.CFE
2012-11-13,IF1211.CFE
2012-11-14,IF1211.CFE
2012-11-15,IF1211.CFE
2012-11-16,IF1212.CFE
2012-11-19,IF1212.CFE
2012-11-20,IF1212.CFE
2012-11-21,IF1212.CFE
2012-11-22,IF1212.CFE
2012-11-23,IF1212.CFE
2012-11-26,IF1212.CFE
2012-11-27,IF1212.CFE
2012-11-28,IF1212.CFE
2012-11-29,IF1212.CFE
2012-11-30,IF1212.CFE
2012-12-03,IF1212.CFE
2012-12-04,IF1212.CFE
2012-12-05,IF1212.CFE
2012-12-06,IF1212.CFE
2012-12-07,IF1212.CFE
2012-12-10,IF1212.CFE
2012-12-11,IF1212.CFE
2012-12-12,IF1212.CFE
2012-12-13,IF1212.CFE
2012-12-14,IF1212.CFE
2012-12-17,IF1212.CFE
2012-12-18,IF1212.CFE
2012-12-19,IF1301.CFE
2012-12-20,IF1301.CFE
2012-12-21,IF1301.CFE
2012-12-24,IF1301.CFE
2012-12-25,IF1301.CFE
2012-12-26,IF1301.CFE
2012-12-27,IF1301.CFE
2012-12-28,IF1301.CFE
2012-12-31,IF1301.CFE
2013-01-04,IF1301.CFE
2013-01-07,IF1301.CFE
2013-01-08,IF1301.CFE
2013-01-09,IF1301.CFE
2013-01-10,IF1301.CFE
2013-01-11,IF1301.CFE
2013-01-14,IF1301.CFE
2013-01-15,IF1301.CFE
2013-01-16,IF1301.CFE
2013-01-17,IF1301.CFE
2013-01-18,IF1302.CFE
2013-01-21,IF1302.CFE
2013-01-22,IF1302.CFE
2013-01-23,IF1302.CFE
2013-01-24,IF1302.CFE
2013-01-25,IF1302.CFE
2013-01-28,IF1302.CFE
2013-01-29,IF1302.CFE
2013-01-30,IF1302.CFE
2013-01-31,IF1302.CFE
2013-02-01,IF1302.CFE
2013-02-04,IF1302.CFE
2013-02-05,IF1302.CFE
2013-02-06,IF1303.CFE
2013-02-07,IF1303.CFE
2013-02-08,IF1303.CFE
2013-02-18,IF1303.CFE
2013-02-19,IF1303.CFE
2013-02-20,IF1303.CFE
2013-02-21,IF1303.CFE
2013-02-22,IF1303.CFE
2013-02-25,IF1303.CFE
2013-02-26,IF1303.CFE
2013-02-27,IF1303.CFE
2013-02-28,IF1303.CFE
2013-03-01,IF1303.CFE
2013-03-04,IF1303.CFE
2013-03-05,IF1303.CFE
2013-03-06,IF1303.CFE
2013-03-07,IF1303.CFE
2013-03-08,IF1303.CFE
2013-03-11,IF1303.CFE
2013-03-12,IF1303.CFE
2013-03-13,IF1303.CFE
2013-03-14,IF1303.CFE
2013-03-15,IF1304.CFE
2013-03-18,IF1304.CFE
2013-03-19,IF1304.CFE
2013-03-20,IF1304.CFE
2013-03-21,IF1304.CFE
2013-03-22,IF1304.CFE
2013-03-25,IF1304.CFE
2013-03-26,IF1304.CFE
2013-03-27,IF1304.CFE
2013-03-28,IF1304.CFE
2013-03-29,IF1304.CFE
2013-04-01,IF1304.CFE
2013-04-02,IF1304.CFE
2013-04-03,IF1304.CFE
2013-04-08,IF1304.CFE
2013-04-09,IF1304.CFE
2013-04-10,IF1304.CFE
2013-04-11,IF1304.CFE
2013-04-12,IF1304.CFE
2013-04-15,IF1304.CFE
2013-04-16,IF1304.CFE
2013-04-17,IF1304.CFE
2013-04-18,IF1304.CFE
2013-04-19,IF1304.CFE
2013-04-22,IF1305.CFE
2013-04-23,IF1305.CFE
2013-04-24,IF1305.CFE
2013-04-25,IF1305.CFE
2013-04-26,IF1305.CFE
2013-05-02,IF1305.CFE
2013-05-03,IF1305.CFE
2013-05-06,IF1305.CFE
2013-05-07,IF1305.CFE
2013-05-08,IF1305.CFE
2013-05-09,IF1305.CFE
2013-05-10,IF1305.CFE
2013-05-13,IF1306.CFE
2013-05-14,IF1306.CFE
2013-05-15,IF1306.CFE
2013-05-16,IF1306.CFE
2013-05-17,IF1306.CFE
2013-05-20,IF1306.CFE
2013-05-21,IF1306.CFE
2013-05-22,IF1306.CFE
2013-05-23,IF1306.CFE
2013-05-24,IF1306.CFE
2013-05-27,IF1306.CFE
2013-05-28,IF1306.CFE
2013-05-29,IF1306.CFE
2013-05-30,IF1306.CFE
2013-05-31,IF1306.CFE
2013-06-03,IF1306.CFE
2013-06-04,IF1306.CFE
2013-06-05,IF1306.CFE
2013-06-06,IF1306.CFE
2013-06-07,IF1306.CFE
2013-06-13,IF1306.CFE
2013-06-14,IF1306.CFE
2013-06-17,IF1306.CFE
2013-06-18,IF1306.CFE
2013-06-19,IF1306.CFE
2013-06-20,IF1307.CFE
2013-06-21,IF1307.CFE
2013-06-24,IF1307.CFE
2013-06-25,IF1307.CFE
2013-06-26,IF1307.CFE
2013-06-27,IF1307.CFE
2013-06-28,IF1307.CFE
2013-07-01,IF1307.CFE
2013-07-02,IF1307.CFE
2013-07-03,IF1307.CFE
2013-07-04,IF1307.CFE
2013-07-05,IF1307.CFE
2013-07-08,IF1307.CFE
2013-07-09,IF1307.CFE
2013-07-10,IF1307.CFE
2013-07-11,IF1307.CFE
2013-07-12,IF1307.CFE
2013-07-15,IF1307.CFE
2013-07-16,IF1307.CFE
2013-07-17,IF1307.CFE
2013-07-18,IF1307.CFE
2013-07-19,IF1308.CFE
2013-07-22,IF1308.CFE
2013-07-23,IF1308.CFE
2013-07-24,IF1308.CFE
2013-07-25,IF1308.CFE
2013-07-26,IF1308.CFE
2013-07-29,IF1308.CFE
2013-07-30,IF1308.CFE
2013-07-31,IF1308.CFE
2013-08-01,IF1308.CFE
2013-08-02,IF1308.CFE
2013-08-05,IF1308.CFE
2013-08-06,IF1308.CFE
2013-08-07,IF1308.CFE
2013-08-08,IF1308.CFE
2013-08-09,IF1308.CFE
2013-08-12,IF1308.CFE
2013-08-13,IF1308.CFE
2013-08-14,IF1308.CFE
2013-08-15,IF1309.CFE
2013-08-16,IF1309.CFE
2013-08-19,IF1309.CFE
2013-08-20,IF1309.CFE
2013-08-21,IF1309.CFE
2013-08-22,IF1309.CFE
2013-08-23,IF1309.CFE
2013-08-26,IF1309.CFE
2013-08-27,IF1309.CFE
2013-08-28,IF1309.CFE
2013-08-29,IF1309.CFE
2013-08-30,IF1309.CFE
2013-09-02,IF1309.CFE
2013-09-03,IF1309.CFE
2013-09-04,IF1309.CFE
2013-09-05,IF1309.CFE
2013-09-06,IF1309.CFE
2013-09-09,IF1309.CFE
2013-09-10,IF1309.CFE
2013-09-11,IF1309.CFE
2013-09-12,IF1309.CFE
2013-09-13,IF1309.CFE
2013-09-16,IF1309.CFE
2013-09-17,IF1309.CFE
2013-09-18,IF1309.CFE
2013-09-23,IF1310.CFE
2013-09-24,IF1310.CFE
2013-09-25,IF1310.CFE
2013-09-26,IF1310.CFE
2013-09-27,IF1310.CFE
2013-09-30,IF1310.CFE
2013-10-08,IF1310.CFE
2013-10-09,IF1310.CFE
2013-10-10,IF1310.CFE
2013-10-11,IF1310.CFE
2013-10-14,IF1310.CFE
2013-10-15,IF1310.CFE
2013-10-16,IF1310.CFE
2013-10-17,IF1310.CFE
2013-10-18,IF1310.CFE
2013-10-21,IF1311.CFE
2013-10-22,IF1311.CFE
2013-10-23,IF1311.CFE
2013-10-24,IF1311.CFE
2013-10-25,IF1311.CFE
2013-10-28,IF1311.CFE
2013-10-29,IF1311.CFE
2013-10-30,IF1311.CFE
2013-10-31,IF1311.CFE
2013-11-01,IF1311.CFE
2013-11-04,IF1311.CFE
2013-11-05,IF1311.CFE
2013-11-06,IF1311.CFE
2013-11-07,IF1311.CFE
2013-11-08,IF1311.CFE
2013-11-11,IF1311.CFE
2013-11-12,IF1311.CFE
2013-11-13,IF1311.CFE
2013-11-14,IF1311.CFE
2013-11-15,IF1312.CFE
2013-11-18,IF1312.CFE
2013-11-19,IF1312.CFE
2013-11-20,IF1312.CFE
2013-11-21,IF1312.CFE
2013-11-22,IF1312.CFE
2013-11-25,IF1312.CFE
