,RS1307.CZC,RS1308.CZC,RS1309.CZC,RS1311.CZC,RS1407.CZC,RS1408.CZC,RS1409.CZC,RS1411.CZC,RS1507.CZC,RS1508.CZC,RS1509.CZC,RS1511.CZC,RS607.CZC,RS608.CZC,RS609.CZC,RS611.CZC,RS707.CZC,RS708.CZC,RS709.CZC,RS711.CZC,RS807.CZC,RS808.CZC,RS809.CZC,RS811.CZC
2014-05-16,,,,,,,4977.0,,,,,,,,,,,,,,,,,
2014-05-19,,,,,,,4971.0,,,,,,,,,,,,,,,,,
2014-05-20,,,,,,,4976.0,,,,,,,,,,,,,,,,,
2014-05-21,,,,,,,4979.0,4625.0,,,,,,,,,,,,,,,,
2014-05-22,,,,,,,4926.0,,,,,,,,,,,,,,,,,
2014-05-23,,,,,,,4940.0,,,,,,,,,,,,,,,,,
2014-05-26,,,,,,,4920.0,,,,,,,,,,,,,,,,,
2014-05-27,,,,,,,4903.0,,,,,,,,,,,,,,,,,
2014-05-28,,,,,,,4948.0,,,,,,,,,,,,,,,,,
2014-05-29,,,,,,,4942.0,,,,,,,,,,,,,,,,,
2014-05-30,,,,,,,4930.0,,,,,,,,,,,,,,,,,
2014-06-03,,,,,,,4877.0,,,,,,,,,,,,,,,,,
2014-06-04,,,,,,,4903.0,,,,,,,,,,,,,,,,,
2014-06-05,,,,,,,4892.0,,,,,,,,,,,,,,,,,
2014-06-06,,,,,,,4897.0,,,,,,,,,,,,,,,,,
2014-06-09,,,,,,,4831.0,,,,,,,,,,,,,,,,,
2014-06-10,,,,,,,4828.0,,,,,,,,,,,,,,,,,
2014-06-11,,,,,,,4837.0,,,,,,,,,,,,,,,,,
2014-06-12,,,,,,,4893.0,,,,,,,,,,,,,,,,,
