None,振幅,振幅,1日收益,1日收益,5日收益,5日收益,20日收益,20日收益,成交量变化,成交量变化,日多头持仓占比变化,日多头持仓占比变化,日空头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向,1日资金流向变化率,1日资金流向变化率
None,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret
2018-01-18,焦煤,0.00901253918495,铁矿石,0.012104283054,沥青,-0.00651230101302,沪锌,0.00403923831506,沥青,-0.00651230101302,棕榈油,-0.0126533742331,沪锌,0.00403923831506,沪银,-0.00467289719626,沪铜,0.000745295323272,沥青,-0.00651230101302,棉花,-0.014502094747,PTA,0.00285816362987,热卷,0.016058016058
2018-01-18,铁矿石,0.012104283054,PVC,0.00679245283019,豆粕,0.00469822912902,沪镍,0.000516635668527,淀粉,-0.00709555345317,塑料,0.00407124681934,沪镍,0.000516635668527,聚丙烯,0.00723404255319,焦炭,0.0104246122553,菜粕,0.00835164835165,沪铜,0.000745295323272,螺纹钢,0.0173620108836,鸡蛋,0.000542740841248
2018-01-19,热卷,-0.006372673974,螺纹钢,0.000254712175242,螺纹钢,0.000254712175242,沥青,0.0138383102695,玉米,-0.00222098833981,焦煤,-0.012427184466,焦煤,-0.012427184466,PVC,0.00149925037481,焦煤,-0.012427184466,沥青,0.0138383102695,玉米,-0.00222098833981,沪铜,0.00353751629119,玻璃,-0.0195154777927
2018-01-19,焦炭,0.0047810770005,热卷,-0.006372673974,热卷,-0.006372673974,PTA,0.00961881011756,塑料,0.00253421186011,焦炭,0.0047810770005,PVC,0.00149925037481,焦炭,0.0047810770005,沥青,0.0138383102695,玉米,-0.00222098833981,沪铝,-0.00711141212326,沪锌,0.00421455938697,沪锌,0.00421455938697
2018-01-19,铁矿石,-0.00551977920883,铁矿石,-0.00551977920883,动力煤,0.0148606811146,棉花,0.0150425114454,焦煤,-0.012427184466,棉花,0.0150425114454,棉花,0.0150425114454,焦煤,-0.012427184466,甲醇,0.00464285714286,焦煤,-0.012427184466,棉花,0.0150425114454,沪铝,-0.00711141212326,沪铝,-0.00711141212326
2018-01-19,焦煤,-0.012427184466,焦炭,0.0047810770005,菜粕,0.00348735832607,沪锌,0.00421455938697,沥青,0.0138383102695,热卷,-0.006372673974,玻璃,-0.0195154777927,沪金,0.000538889886833,热卷,-0.006372673974,沪银,0.00104329681794,沥青,0.0138383102695,螺纹钢,0.000254712175242,热卷,-0.006372673974
2018-01-19,豆一,-0.00367647058824,沪铝,-0.00711141212326,豆粕,0.0021582733813,聚丙烯,-0.00126742712294,淀粉,-0.00285850404955,聚丙烯,-0.00126742712294,动力煤,0.0148606811146,PTA,0.00961881011756,沪铜,0.00353751629119,菜粕,0.00348735832607,焦煤,-0.012427184466,PTA,0.00961881011756,鸡蛋,-0.00189856251695
2018-01-22,焦煤,0.010224144711,沪镍,0.0119748325553,动力煤,0.00183038438072,沥青,-0.00502873563218,玉米,-0.00779076238175,棕榈油,0.00231213872832,白糖,-0.00208008320333,PVC,0.0059880239521,沪金,0.0032315978456,玉米,-0.00779076238175,焦煤,0.010224144711,沪铜,-0.00333951762523,玻璃,0.00686341798216
2018-01-22,焦炭,-0.00175306786877,棉花,0.00322164948454,螺纹钢,-0.00381970970206,PTA,0.00105857445307,塑料,0.00758341759353,塑料,0.00758341759353,棕榈油,0.00231213872832,沪金,0.0032315978456,沥青,-0.00502873563218,沥青,-0.00502873563218,铁矿石,-0.0351526364477,沪锌,0.000190766882869,沪锌,0.000190766882869
2018-01-22,玻璃,0.00686341798216,动力煤,0.00183038438072,热卷,0.00128270908158,动力煤,0.00183038438072,焦煤,0.010224144711,沪镍,0.0119748325553,聚丙烯,0.00856598984772,焦炭,-0.00175306786877,沪银,0.00234497133924,沪银,0.00234497133924,沪铝,-0.000682128240109,沪铝,-0.000682128240109,沪铝,-0.000682128240109
