,V0909.DCE,V0910.DCE,V0911.DCE,V0912.DCE,V1001.DCE,V1002.DCE,V1003.DCE,V1004.DCE,V1005.DCE,V1006.DCE,V1007.DCE,V1008.DCE,V1009.DCE,V1010.DCE,V1011.DCE,V1012.DCE,V1101.DCE,V1102.DCE,V1103.DCE,V1104.DCE,V1105.DCE,V1106.DCE,V1107.DCE,V1108.DCE,V1109.DCE,V1110.DCE,V1111.DCE,V1112.DCE,V1201.DCE,V1202.DCE,V1203.DCE,V1204.DCE,V1205.DCE,V1206.DCE,V1207.DCE,V1208.DCE,V1209.DCE,V1210.DCE,V1211.DCE,V1212.DCE,V1301.DCE,V1302.DCE,V1303.DCE,V1304.DCE,V1305.DCE,V1306.DCE,V1307.DCE,V1308.DCE,V1309.DCE,V1310.DCE,V1311.DCE,V1312.DCE,V1401.DCE,V1402.DCE,V1403.DCE,V1404.DCE,V1405.DCE,V1406.DCE,V1407.DCE,V1408.DCE,V1409.DCE,V1410.DCE,V1411.DCE,V1412.DCE,V1501.DCE,V1502.DCE,V1503.DCE,V1504.DCE,V1505.DCE,V1506.DCE,V1507.DCE,V1508.DCE,V1509.DCE,V1510.DCE,V1511.DCE,V1512.DCE,V1601.DCE,V1602.DCE,V1603.DCE,V1604.DCE,V1605.DCE,V1606.DCE,V1607.DCE,V1608.DCE,V1609.DCE,V1610.DCE,V1611.DCE,V1612.DCE,V1701.DCE,V1702.DCE,V1703.DCE,V1704.DCE,V1705.DCE,V1706.DCE,V1707.DCE,V1708.DCE,V1709.DCE,V1710.DCE,V1711.DCE,V1712.DCE,V1801.DCE,V1802.DCE,V1803.DCE,V1804.DCE,V1805.DCE,V1806.DCE,V1807.DCE,V1808.DCE,V1809.DCE,V1810.DCE,V1811.DCE,V1812.DCE,V1901.DCE,V1902.DCE,V1903.DCE
2009-07-27,53648.0,2360.0,58294.0,8514.0,4842.0,2804.0,26.0,42.0,264.0,228.0,1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-28,50916.0,2494.0,72602.0,9548.0,5178.0,3314.0,26.0,42.0,252.0,228.0,1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-29,46386.0,2514.0,65612.0,9292.0,5074.0,3246.0,114.0,38.0,252.0,242.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-30,48698.0,3110.0,126808.0,8542.0,6548.0,3348.0,130.0,36.0,332.0,230.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,46782.0,3158.0,133860.0,8478.0,7718.0,3310.0,228.0,126.0,334.0,224.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-03,43772.0,3098.0,149544.0,8986.0,13476.0,3380.0,228.0,126.0,366.0,224.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-04,41050.0,2024.0,141192.0,7506.0,14170.0,4182.0,226.0,126.0,418.0,212.0,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-05,40030.0,2010.0,134704.0,7092.0,14950.0,4186.0,222.0,128.0,394.0,210.0,1028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-06,40834.0,2142.0,169892.0,7512.0,20524.0,4276.0,206.0,3326.0,378.0,210.0,1030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-07,39942.0,1742.0,153686.0,6544.0,19668.0,4830.0,250.0,3328.0,382.0,222.0,1052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
