,LR1411.CZC,LR1501.CZC,LR1503.CZC,LR1505.CZC,LR1507.CZC,LR1509.CZC,LR1511.CZC,LR1601.CZC,LR1603.CZC,LR1605.CZC,LR607.CZC,LR609.CZC,LR611.CZC,LR701.CZC,LR703.CZC,LR705.CZC,LR707.CZC,LR709.CZC,LR711.CZC,LR801.CZC,LR803.CZC,LR805.CZC,LR807.CZC,LR809.CZC,LR811.CZC,LR901.CZC,LR903.CZC
2015-03-31,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-01,0.0,0.0,0.0,454.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-02,0.0,0.0,0.0,454.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-03,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-07,0.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-08,0.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-09,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-10,0.0,0.0,0.0,454.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-13,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-14,0.0,0.0,0.0,444.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-15,0.0,0.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-16,0.0,0.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-17,0.0,0.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-20,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-21,0.0,0.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-22,0.0,0.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-23,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-24,0.0,0.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-27,0.0,0.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-28,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-29,0.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-30,0.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-04,0.0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-05,0.0,0.0,0.0,406.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-06,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-07,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-08,0.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-11,0.0,0.0,0.0,382.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-12,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-13,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-14,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2015-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
