,IH1505.CFE,IH1506.CFE,IH1507.CFE,IH1508.CFE,IH1509.CFE,IH1510.CFE,IH1511.CFE,IH1512.CFE,IH1601.CFE,IH1602.CFE,IH1603.CFE,IH1604.CFE,IH1605.CFE,IH1606.CFE,IH1607.CFE,IH1608.CFE,IH1609.CFE,IH1610.CFE,IH1611.CFE,IH1612.CFE,IH1701.CFE,IH1702.CFE,IH1703.CFE,IH1704.CFE,IH1705.CFE,IH1706.CFE,IH1707.CFE,IH1708.CFE,IH1709.CFE,IH1710.CFE,IH1711.CFE,IH1712.CFE,IH1801.CFE,IH1802.CFE,IH1803.CFE,IH1806.CFE,IH1804.CFE,IH1805.CFE,IH1809.CFE
2015-11-09,0.0,0.0,0.0,0.0,0.0,0.0,9313.0,8783.0,,,834.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-10,0.0,0.0,0.0,0.0,0.0,0.0,8939.0,8931.0,,,867.0,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-11,0.0,0.0,0.0,0.0,0.0,0.0,9141.0,8889.0,,,896.0,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-12,0.0,0.0,0.0,0.0,0.0,0.0,8730.0,8864.0,,,929.0,,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13,0.0,0.0,0.0,0.0,0.0,0.0,8159.0,9197.0,,,952.0,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-16,0.0,0.0,0.0,0.0,0.0,0.0,7294.0,9576.0,,,976.0,,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-17,0.0,0.0,0.0,0.0,0.0,0.0,6028.0,10471.0,,,1044.0,,,182.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-18,0.0,0.0,0.0,0.0,0.0,0.0,4600.0,11366.0,,,1086.0,,,209.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-19,0.0,0.0,0.0,0.0,0.0,0.0,2628.0,12687.0,,,1163.0,,,244.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13769.0,,,1224.0,,,259.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13859.0,131.0,,1329.0,,,276.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14563.0,180.0,,1420.0,,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14579.0,224.0,,1438.0,,,314.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14667.0,326.0,,1433.0,,,319.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14651.0,557.0,,1479.0,,,344.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14477.0,727.0,,1550.0,,,345.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14080.0,748.0,,1808.0,,,368.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13794.0,852.0,,1963.0,,,408.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13144.0,927.0,,2058.0,,,417.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13044.0,1065.0,,2201.0,,,443.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12850.0,1133.0,,2325.0,,,479.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12377.0,1304.0,,2511.0,,,486.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11890.0,1655.0,,2610.0,,,506.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11643.0,1918.0,,2702.0,,,504.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10825.0,2374.0,,2751.0,,,527.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9943.0,3730.0,,2799.0,,,549.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7674.0,5209.0,,2876.0,,,569.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5991.0,7281.0,,3031.0,,,593.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3309.0,9138.0,,3084.0,,,598.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10247.0,,3200.0,,,631.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11176.0,91.0,3253.0,,,624.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10945.0,166.0,3165.0,,,640.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11632.0,224.0,3176.0,,,643.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11338.0,315.0,3175.0,,,665.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11240.0,440.0,3219.0,,,660.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11555.0,499.0,3256.0,,,668.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11706.0,527.0,3319.0,,,704.0,,,,,,,,,,,,,,,,,,,,,,,,,
