,FG1303.CZC,FG1304.CZC,FG1305.CZC,FG1306.CZC,FG1307.CZC,FG1308.CZC,FG1309.CZC,FG1310.CZC,FG1311.CZC,FG1312.CZC,FG1401.CZC,FG1402.CZC,FG1403.CZC,FG1404.CZC,FG1405.CZC,FG1406.CZC,FG1407.CZC,FG1408.CZC,FG1409.CZC,FG1410.CZC,FG1411.CZC,FG1412.CZC,FG1501.CZC,FG1502.CZC,FG1503.CZC,FG1504.CZC,FG1505.CZC,FG1506.CZC,FG1507.CZC,FG1508.CZC,FG1509.CZC,FG1510.CZC,FG1511.CZC,FG1512.CZC,FG1601.CZC,FG1602.CZC,FG1603.CZC,FG1604.CZC,FG1605.CZC,FG1606.CZC,FG607.CZC,FG608.CZC,FG609.CZC,FG610.CZC,FG611.CZC,FG612.CZC,FG701.CZC,FG702.CZC,FG703.CZC,FG704.CZC,FG705.CZC,FG706.CZC,FG707.CZC,FG708.CZC,FG709.CZC,FG710.CZC,FG711.CZC,FG712.CZC,FG801.CZC,FG802.CZC,FG803.CZC,FG804.CZC,FG805.CZC,FG806.CZC,FG807.CZC,FG808.CZC,FG809.CZC,FG810.CZC,FG811.CZC,FG812.CZC,FG901.CZC,FG902.CZC,FG903.CZC,FG904.CZC
2013-04-02,0.0,20.0,10364.0,2026.0,270.0,64.0,406240.0,406.0,166.0,92.0,117568.0,240.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-03,0.0,20.0,10106.0,2006.0,274.0,60.0,392332.0,398.0,142.0,76.0,116954.0,240.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-08,0.0,20.0,9218.0,1988.0,270.0,60.0,434648.0,366.0,140.0,74.0,119324.0,240.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-09,0.0,20.0,8964.0,1964.0,272.0,58.0,450938.0,396.0,134.0,70.0,130964.0,222.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-10,0.0,20.0,8568.0,1876.0,280.0,56.0,431576.0,384.0,138.0,74.0,127538.0,222.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-11,0.0,20.0,6882.0,1674.0,280.0,58.0,451520.0,406.0,136.0,74.0,129520.0,234.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-12,0.0,20.0,6626.0,1654.0,274.0,54.0,418380.0,480.0,134.0,74.0,129522.0,246.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-15,0.0,20.0,5324.0,1614.0,256.0,46.0,510630.0,406.0,88.0,74.0,125310.0,256.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-16,0.0,0.0,4394.0,1618.0,254.0,70.0,479124.0,406.0,88.0,74.0,122862.0,258.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-17,0.0,0.0,3754.0,2296.0,412.0,98.0,613498.0,858.0,98.0,66.0,131620.0,234.0,38.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
