,JR1403.CZC,JR1405.CZC,JR1407.CZC,JR1409.CZC,JR1411.CZC,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC
2014-05-06,0.0,102.0,0.0,64.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-07,0.0,102.0,0.0,62.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-08,0.0,106.0,0.0,62.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-09,0.0,132.0,0.0,62.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-12,0.0,134.0,0.0,60.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-13,0.0,134.0,0.0,60.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-14,0.0,200.0,0.0,54.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-15,0.0,200.0,0.0,54.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-16,0.0,0.0,0.0,54.0,18.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-19,0.0,0.0,0.0,54.0,18.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-05-20,0.0,0.0,0.0,56.0,18.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-05-21,0.0,0.0,0.0,56.0,16.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2014-05-22,0.0,0.0,0.0,52.0,16.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-05-23,0.0,0.0,0.0,54.0,16.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-05-26,0.0,0.0,0.0,54.0,16.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-05-27,0.0,0.0,0.0,54.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-05-28,0.0,0.0,0.0,50.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-05-29,0.0,0.0,0.0,50.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-05-30,0.0,0.0,0.0,50.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-03,0.0,0.0,0.0,50.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-04,0.0,0.0,0.0,50.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-05,0.0,0.0,0.0,50.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-06,0.0,0.0,0.0,50.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-09,0.0,0.0,0.0,50.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-10,0.0,0.0,0.0,50.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-11,0.0,0.0,0.0,46.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-12,0.0,0.0,0.0,38.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-13,0.0,0.0,0.0,38.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-16,0.0,0.0,0.0,40.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-17,0.0,0.0,0.0,38.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-18,0.0,0.0,0.0,40.0,18.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-19,0.0,0.0,0.0,40.0,18.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-20,0.0,0.0,0.0,34.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-23,0.0,0.0,0.0,28.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-24,0.0,0.0,0.0,28.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-25,0.0,0.0,0.0,28.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-26,0.0,0.0,0.0,28.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-27,0.0,0.0,0.0,26.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,0.0,0.0,0.0,26.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,0.0,0.0,0.0,26.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-02,0.0,0.0,0.0,26.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-03,0.0,0.0,0.0,26.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-04,0.0,0.0,0.0,34.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-07,0.0,0.0,0.0,34.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-08,0.0,0.0,0.0,34.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-09,0.0,0.0,0.0,34.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-10,0.0,0.0,0.0,34.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-11,0.0,0.0,0.0,34.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-14,0.0,0.0,0.0,34.0,14.0,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-15,0.0,0.0,0.0,32.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-16,0.0,0.0,0.0,28.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
