,total_CV,agri_CV,chem_CV,fmt_CV,nfmt_CV,gld_CV
2015-04-07,10126.1001744,3815.8009815,1654.588603,1585.0008686,2267.7629072,802.9468141
2015-04-08,10171.6400151,3911.7668567,1570.5020558,1615.9733176,2259.8700318,813.5277532
2015-04-09,10178.035306,3882.0606538,1566.9266991,1619.414859,2289.0705894,820.5625047
2015-04-10,10149.7216361,3833.2361722,1550.2252563,1633.5939776,2314.021219,818.645011
2015-04-13,10295.3992592,3922.6867495,1501.3076558,1720.637901,2338.2427908,812.5241621
2015-04-14,10319.5239894,3920.3826703,1514.8870887,1686.5696696,2365.975292,831.7092688
2015-04-15,10380.6122552,4009.7021738,1517.2156141,1691.4001126,2337.6130607,824.681294
2015-04-16,10413.4414747,4023.3369572,1585.1571092,1673.5047778,2313.972794,817.4698365
2015-04-17,10376.7476347,4028.9176105,1565.0349346,1655.7109002,2285.6163417,841.4678477
2015-04-20,10413.4083591,4010.803711,1553.2441135,1734.7196172,2277.0492663,837.5916511
2015-04-21,10511.3261035,4026.8965042,1641.2615975,1757.0310838,2227.394041,858.742877
2015-04-22,10549.7797356,4053.090219,1620.2734073,1787.3368436,2241.1169922,847.9622735
2015-04-23,10478.4725023,3965.3420852,1669.7220265,1685.8510894,2269.2602637,888.2970375
2015-04-24,10462.0591831,3991.5889199,1674.3090357,1706.7859546,2221.5774174,867.7978555
2015-04-27,10826.1157225,4176.5238009,1779.0750689,1702.2920588,2261.8622912,906.3625027
2015-04-28,10822.6258966,4228.1769917,1722.3384852,1707.0328,2279.9574263,885.1201934
2015-04-29,10671.1452872,4204.0558612,1619.7654675,1689.4595822,2305.4835467,852.3808296
2015-04-30,10666.7942021,4243.0701459,1645.4305553,1587.901805,2348.9670502,841.4246457
2015-05-04,10962.438629,4368.8358123,1696.7819107,1661.5734822,2404.7409728,830.506451
2015-05-05,11032.7219951,4412.8871094,1674.3379386,1742.3241288,2371.5454151,831.6274032
2015-05-06,11265.6546894,4497.8863709,1748.3836507,1765.5604766,2408.2427243,845.5814669
