,FB1501.DCE,FB1502.DCE,FB1503.DCE,FB1504.DCE,FB1505.DCE,FB1506.DCE,FB1507.DCE,FB1508.DCE,FB1509.DCE,FB1510.DCE,FB1511.DCE,FB1512.DCE,FB1601.DCE,FB1602.DCE,FB1603.DCE,FB1604.DCE,FB1605.DCE,FB1606.DCE,FB1607.DCE,FB1608.DCE,FB1609.DCE,FB1610.DCE,FB1611.DCE,FB1612.DCE,FB1701.DCE,FB1702.DCE,FB1703.DCE,FB1704.DCE,FB1705.DCE,FB1706.DCE,FB1707.DCE,FB1708.DCE,FB1709.DCE,FB1710.DCE,FB1711.DCE,FB1712.DCE,FB1801.DCE,FB1802.DCE,FB1803.DCE,FB1804.DCE,FB1805.DCE,FB1806.DCE,FB1807.DCE,FB1808.DCE,FB1809.DCE,FB1810.DCE,FB1811.DCE,FB1812.DCE,FB1901.DCE,FB1902.DCE,FB1903.DCE,FB1904.DCE
2015-09-08,,,,,,,,,,,,,56.55,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-09,,,,,,,,,,,,,56.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,,,,,,,,,,,,,56.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-15,,,,,,,,,,,57.75,,57.45,,,,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-16,,,,,,,,,,,60.6,,56.6,,,64.0,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-17,,,,,,,,,,,61.0,,58.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,,,,,,,,,,,,,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-21,,,,,,,,,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-22,,,,,,,,,,,,,58.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
