,total_CV,agri_CV,chem_CV,fmt_CV,nfmt_CV,gld_CV
2017-05-12,13386.2185199,3853.6429466,1961.0025606,3382.3673076,3027.7626673,1161.4430378
2017-05-15,13265.9678152,3878.1815765,1984.1558734,3316.0110368,2918.7987565,1168.820572
2017-05-16,13347.3311209,3912.5786322,2012.1792839,3312.390423,2961.1371757,1149.0456061
2017-05-17,13501.3054872,3885.7162424,1955.8418979,3576.150918,2925.9583591,1157.6380698
2017-05-18,13499.1641094,3857.3021537,1994.1847197,3524.604465,2957.5094531,1165.5633179
2017-05-19,13742.9741196,3880.0094853,2009.5315505,3800.4791456,2888.3988171,1164.5551211
2017-05-22,13750.7925457,3920.9645107,1986.1493993,3770.2971214,2903.7294594,1169.6520549
2017-05-23,13691.4094917,3891.092193,1979.793509,3704.1487956,2929.1541798,1187.2208143
2017-05-24,13596.7873611,3913.5976823,1933.8929746,3613.138821,2962.5370874,1173.6207958
2017-05-25,13493.5055473,3861.2429736,1980.019697,3537.2891158,2934.236886,1180.7168749
2017-05-26,13256.2156376,3836.9170211,1926.7189732,3423.7887572,2910.5063452,1158.2845409
2017-05-31,13095.0211819,3806.3807722,1892.3504557,3380.993008,2861.4438446,1153.8531014
2017-06-01,13141.9636964,3832.8996562,1916.4675673,3436.7755764,2793.3521809,1162.4687156
2017-06-02,13280.8714539,3837.3481753,1922.8665035,3538.9713094,2808.4739164,1173.2115493
2017-06-05,13328.9140502,3861.7342116,1910.6666164,3534.9908318,2788.0093748,1233.5130156
2017-06-06,13414.5865845,3867.1603079,1961.67448,3512.4608886,2786.3623325,1286.9285755
2017-06-07,13528.1264744,3908.8616323,1993.3901879,3530.1365328,2788.3114866,1307.4266348
2017-06-08,13593.7413931,3901.7009973,2031.7837972,3593.7943122,2765.1445435,1301.3177429
2017-06-09,13615.8590241,3946.2515634,1980.4088394,3580.671488,2815.7035464,1292.8235869
2017-06-12,13867.8887076,3950.7690214,2079.0878312,3671.7024468,2854.1929193,1312.1364889
2017-06-13,13692.6077353,3904.2746325,2000.6594778,3636.6738428,2826.1107043,1324.8890779
2017-06-14,13942.8893919,3931.794241,2067.9656735,3827.6271418,2796.8355292,1318.6668064
2017-06-15,13741.4356937,3980.8391739,2008.0621959,3762.3693762,2718.1517392,1272.0132085
2017-06-16,13745.1265295,3988.4452519,2039.8738561,3750.2548828,2678.5787463,1287.9737924
2017-06-19,13895.361518,4020.2447676,2099.952025,3830.9763538,2629.8593948,1314.3289768
2017-06-20,13875.6980247,3976.6450686,2080.5731656,3806.394576,2673.2474043,1338.8378102
2017-06-21,13955.1532722,3992.7699264,2096.4814554,3858.918846,2661.1887263,1345.7943181
2017-06-22,13878.4659217,3956.3804152,2108.1292203,3813.9735962,2654.715587,1345.267103
2017-06-23,13976.8534037,3946.7450648,2057.4018328,3844.1799704,2792.4353008,1336.0912349
2017-06-26,13947.8994979,3924.0958029,2054.2906644,3871.1027122,2778.657292,1319.7530264
2017-06-27,14317.396543,3913.7937078,2083.8283065,4217.138939,2799.988915,1302.6466747
2017-06-28,14517.8937983,4023.7363859,2099.862599,4232.345832,2839.6857209,1322.2632605
2017-06-29,14912.5317166,4003.3084682,2225.5128739,4334.6556538,3015.0439983,1334.0107224
